id,name,series,printedTotal,total,legalities,ptcgoCode,releaseDate,updatedAt,symbol_image_source,logo_image_source
mcd18,McDonald's Collection 2018,Other,12,12,"{""unlimited"": ""Legal"", ""expanded"": ""Legal""}",,2018/10/16,2022/10/10 15:12:00,"""https://images.pokemontcg.io/mcd18/symbol.png""","""https://images.pokemontcg.io/mcd18/logo.png"""
sm8,Lost Thunder,Sun & Moon,214,240,"{""unlimited"": ""Legal"", ""expanded"": ""Legal""}",LOT,2018/11/02,2020/08/14 09:35:00,"""https://images.pokemontcg.io/sm8/symbol.png""","""https://images.pokemontcg.io/sm8/logo.png"""
sm9,Team Up,Sun & Moon,181,198,"{""unlimited"": ""Legal"", ""expanded"": ""Legal""}",TEU,2019/02/01,2021/09/01 05:37:00,"""https://images.pokemontcg.io/sm9/symbol.png""","""https://images.pokemontcg.io/sm9/logo.png"""
det1,Detective Pikachu,Sun & Moon,18,18,"{""unlimited"": ""Legal"", ""expanded"": ""Legal""}",DET,2019/04/05,2021/09/01 05:37:00,"""https://images.pokemontcg.io/det1/symbol.png""","""https://images.pokemontcg.io/det1/logo.png"""
sm10,Unbroken Bonds,Sun & Moon,214,234,"{""unlimited"": ""Legal"", ""expanded"": ""Legal""}",UNB,2019/05/03,2021/09/01 05:37:00,"""https://images.pokemontcg.io/sm10/symbol.png""","""https://images.pokemontcg.io/sm10/logo.png"""
sm11,Unified Minds,Sun & Moon,236,260,"{""unlimited"": ""Legal"", ""expanded"": ""Legal""}",UNM,2019/08/02,2021/09/01 05:37:00,"""https://images.pokemontcg.io/sm11/symbol.png""","""https://images.pokemontcg.io/sm11/logo.png"""
sm115,Hidden Fates,Sun & Moon,68,69,"{""unlimited"": ""Legal"", ""expanded"": ""Legal""}",HIF,2019/08/23,2021/09/01 05:37:00,"""https://images.pokemontcg.io/sm115/symbol.png""","""https://images.pokemontcg.io/sm115/logo.png"""
sma,Hidden Fates Shiny Vault,Sun & Moon,94,94,"{""unlimited"": ""Legal"", ""expanded"": ""Legal""}",HIF,2019/08/23,2021/09/01 05:37:00,"""https://images.pokemontcg.io/sma/symbol.png""","""https://images.pokemontcg.io/sma/logo.png"""
mcd19,McDonald's Collection 2019,Other,12,12,"{""unlimited"": ""Legal"", ""expanded"": ""Legal""}",,2019/10/15,2022/10/10 15:12:00,"""https://images.pokemontcg.io/mcd19/symbol.png""","""https://images.pokemontcg.io/mcd19/logo.png"""
sm12,Cosmic Eclipse,Sun & Moon,236,272,"{""unlimited"": ""Legal"", ""expanded"": ""Legal""}",CEC,2019/11/01,2021/09/01 05:37:00,"""https://images.pokemontcg.io/sm12/symbol.png""","""https://images.pokemontcg.io/sm12/logo.png"""
swshp,SWSH Black Star Promos,Sword & Shield,307,304,"{""unlimited"": ""Legal"", ""standard"": ""Legal"", ""expanded"": ""Legal""}",PR-SW,2019/11/15,2022/07/23 20:15:00,"""https://images.pokemontcg.io/swshp/symbol.png""","""https://images.pokemontcg.io/swshp/logo.png"""
swsh1,Sword & Shield,Sword & Shield,202,216,"{""unlimited"": ""Legal"", ""expanded"": ""Legal""}",SSH,2020/02/07,2020/08/14 09:35:00,"""https://images.pokemontcg.io/swsh1/symbol.png""","""https://images.pokemontcg.io/swsh1/logo.png"""
swsh2,Rebel Clash,Sword & Shield,192,209,"{""unlimited"": ""Legal"", ""expanded"": ""Legal""}",RCL,2020/05/01,2020/09/25 10:09:00,"""https://images.pokemontcg.io/swsh2/symbol.png""","""https://images.pokemontcg.io/swsh2/logo.png"""
swsh3,Darkness Ablaze,Sword & Shield,189,201,"{""unlimited"": ""Legal"", ""expanded"": ""Legal""}",DAA,2020/08/14,2020/10/25 13:45:00,"""https://images.pokemontcg.io/swsh3/symbol.png""","""https://images.pokemontcg.io/swsh3/logo.png"""
fut20,Pokémon Futsal Collection,Other,5,5,"{""unlimited"": ""Legal"", ""standard"": ""Legal"", ""expanded"": ""Legal""}",FUT20,2020/09/11,2022/10/10 15:12:00,"""https://images.pokemontcg.io/fut20/symbol.png""","""https://images.pokemontcg.io/fut20/logo.png"""
